Year,Age,mx
1933,0,0.06818
1933,1,0.01004
1933,2,0.00467
1933,3,0.00333
1933,4,0.00254
1933,5,0.00209
1933,6,0.0019
1933,7,0.00174
1933,8,0.00161
1933,9,0.00151
1933,10,0.00144
1933,11,0.00141
1933,12,0.00146
1933,13,0.00158
1933,14,0.00177
1933,15,0.00201
1933,16,0.00225
1933,17,0.00248
1933,18,0.00271
1933,19,0.00293
1933,20,0.00315
1933,21,0.00334
1933,22,0.0035
1933,23,0.00362
1933,24,0.00369
1933,25,0.00373
1933,26,0.00379
1933,27,0.00386
1933,28,0.00395
1933,29,0.00407
1933,30,0.00421
1933,31,0.00438
1933,32,0.00461
1933,33,0.00488
1933,34,0.0052
1933,35,0.00554
1933,36,0.00584
1933,37,0.00609
1933,38,0.00633
1933,39,0.00657
1933,40,0.00685
1933,41,0.00724
1933,42,0.00774
1933,43,0.00831
1933,44,0.00894
1933,45,0.00962
1933,46,0.01033
1933,47,0.01106
1933,48,0.01184
1933,49,0.01269
1933,50,0.01359
1933,51,0.01448
1933,52,0.01536
1933,53,0.01621
1933,54,0.01706
1933,55,0.01797
1933,56,0.01914
1933,57,0.02064
1933,58,0.02249
1933,59,0.02472
1933,60,0.02723
1933,61,0.02964
1933,62,0.03186
1933,63,0.0339
1933,64,0.03579
1933,65,0.03769
1933,66,0.0402
1933,67,0.04355
1933,68,0.04783
1933,69,0.05317
1933,70,0.05941
1933,71,0.06548
1933,72,0.07101
1933,73,0.07603
1933,74,0.08023
1933,75,0.0834
1933,76,0.08972
1933,77,0.09729
1933,78,0.1062
1933,79,0.11639
1933,80,0.12746
1933,81,0.13947
1933,82,0.15187
1933,83,0.16464
1933,84,0.17768
1933,85,0.19078
1933,86,0.20481
1933,87,0.22005
1933,88,0.23591
1933,89,0.25102
1933,90,0.26354
1933,91,0.27215
1933,92,0.27624
1933,93,0.27574
1933,94,0.27551
1933,95,0.33441
1933,96,0.35224
1933,97,0.3705
1933,98,0.38914
1933,99,0.40811
1933,100,0.42735
1933,101,0.44682
1933,102,0.46645
1933,103,0.48618
1933,104,0.50596
1933,105,0.52572
1933,106,0.5454
1933,107,0.56494
1933,108,0.58428
1933,109,0.60336
1933,110+,0.62213
1934,0,0.07648
1934,1,0.01121
1934,2,0.00516
1934,3,0.00347
1934,4,0.00266
1934,5,0.00219
1934,6,0.00197
1934,7,0.00179
1934,8,0.00165
1934,9,0.00154
1934,10,0.00146
1934,11,0.00144
1934,12,0.00147
1934,13,0.00159
1934,14,0.00178
1934,15,0.00203
1934,16,0.00229
1934,17,0.00253
1934,18,0.00277
1934,19,0.00301
1934,20,0.00324
1934,21,0.00344
1934,22,0.00359
1934,23,0.00371
1934,24,0.00377
1934,25,0.0038
1934,26,0.00384
1934,27,0.00391
1934,28,0.00401
1934,29,0.00413
1934,30,0.00428
1934,31,0.00447
1934,32,0.00469
1934,33,0.00496
1934,34,0.00526
1934,35,0.0056
1934,36,0.00594
1934,37,0.00624
1934,38,0.00651
1934,39,0.00678
1934,40,0.00706
1934,41,0.00741
1934,42,0.00787
1934,43,0.00843
1934,44,0.00908
1934,45,0.00979
1934,46,0.01056
1934,47,0.01138
1934,48,0.01225
1934,49,0.01322
1934,50,0.01427
1934,51,0.01529
1934,52,0.01626
1934,53,0.01714
1934,54,0.01794
1934,55,0.01872
1934,56,0.01973
1934,57,0.02108
1934,58,0.02281
1934,59,0.02494
1934,60,0.02745
1934,61,0.02997
1934,62,0.03236
1934,63,0.03462
1934,64,0.03678
1934,65,0.03892
1934,66,0.04148
1934,67,0.04472
1934,68,0.04875
1934,69,0.05366
1934,70,0.05946
1934,71,0.06556
1934,72,0.07154
1934,73,0.07727
1934,74,0.08288
1934,75,0.08598
1934,76,0.09324
1934,77,0.10143
1934,78,0.11063
1934,79,0.12062
1934,80,0.13026
1934,81,0.14152
1934,82,0.15341
1934,83,0.1655
1934,84,0.17772
1934,85,0.19037
1934,86,0.2041
1934,87,0.21946
1934,88,0.23614
1934,89,0.2533
1934,90,0.2697
1934,91,0.28312
1934,92,0.29202
1934,93,0.29504
1934,94,0.29384
1934,95,0.33956
1934,96,0.35774
1934,97,0.37633
1934,98,0.3953
1934,99,0.41458
1934,100,0.43413
1934,101,0.45389
1934,102,0.4738
1934,103,0.49379
1934,104,0.51379
1934,105,0.53376
1934,106,0.55361
1934,107,0.5733
1934,108,0.59276
1934,109,0.61193
1934,110+,0.63076
1935,0,0.06917
1935,1,0.00948
1935,2,0.00452
1935,3,0.0032
1935,4,0.00248
1935,5,0.00209
1935,6,0.00192
1935,7,0.00176
1935,8,0.00164
1935,9,0.00156
1935,10,0.00149
1935,11,0.00148
1935,12,0.00153
1935,13,0.00162
1935,14,0.00179
1935,15,0.00203
1935,16,0.00228
1935,17,0.00253
1935,18,0.00275
1935,19,0.00297
1935,20,0.00317
1935,21,0.00334
1935,22,0.00349
1935,23,0.00362
1935,24,0.00373
1935,25,0.00381
1935,26,0.00389
1935,27,0.00397
1935,28,0.00405
1935,29,0.00412
1935,30,0.00421
1935,31,0.00434
1935,32,0.00455
1935,33,0.00482
1935,34,0.00517
1935,35,0.00558
1935,36,0.006
1935,37,0.00638
1935,38,0.0067
1935,39,0.00697
1935,40,0.00721
1935,41,0.0075
1935,42,0.00786
1935,43,0.00836
1935,44,0.00897
1935,45,0.00968
1935,46,0.01044
1935,47,0.01123
1935,48,0.01206
1935,49,0.01294
1935,50,0.01388
1935,51,0.01487
1935,52,0.01588
1935,53,0.01689
1935,54,0.01788
1935,55,0.0189
1935,56,0.02004
1935,57,0.02134
1935,58,0.02285
1935,59,0.0246
1935,60,0.02659
1935,61,0.02877
1935,62,0.03112
1935,63,0.03364
1935,64,0.03638
1935,65,0.03936
1935,66,0.04247
1935,67,0.04579
1935,68,0.04942
1935,69,0.05339
1935,70,0.05775
1935,71,0.06278
1935,72,0.06845
1935,73,0.07458
1935,74,0.08123
1935,75,0.08541
1935,76,0.0935
1935,77,0.10221
1935,78,0.11138
1935,79,0.1207
1935,80,0.12825
1935,81,0.13841
1935,82,0.14975
1935,83,0.16206
1935,84,0.17507
1935,85,0.18922
1935,86,0.20469
1935,87,0.2216
1935,88,0.23957
1935,89,0.25691
1935,90,0.27141
1935,91,0.28204
1935,92,0.28764
1935,93,0.28734
